GEOM_X;GEOM_Y;TERYT_KOD;ULICA_NR
7428218,339;5552028,395;26196;z³otego wieku_60
7428310,315;5551919,161;26196;z³otego wieku_64
7428057,299;5550757,507;15438;oœwiecenia_21
7428041,176;5551884,29;27656;zjazdu gnieŸnieñskiego_2
7428042,411;5551260,51;15438;oœwiecenia_39
7428000,12;5551213,58;15438;oœwiecenia_38
7427933,306;5551212,416;15438;oœwiecenia_37
7427858,652;5551170,771;15438;oœwiecenia_35
7427835,495;5551206,9;15438;oœwiecenia_43
7428291,925;5551955,976;26196;z³otego wieku_62
7428354,605;5551844,052;26196;z³otego wieku_52
7428158,355;5551946,249;26196;z³otego wieku_57
7428198,196;5551938,98;26196;z³otego wieku_56
7428185,652;5552016,259;26196;z³otego wieku_59
7428146,764;5551879,872;23749;wawelska_16
7428398,467;5551485,116;26196;z³otego wieku_78
7428180,653;5551133,99;23267;tysi¹clecia_62
7428203,005;5551185,81;23267;tysi¹clecia_62a
7427896,225;5551793,673;27655;korony polskiej_53
7428046,93;5551402,769;15438;oœwiecenia_40
7428137,819;5551908,607;23749;wawelska_14
7428131,955;5551935,884;23749;wawelska_12
7428054,045;5551851,236;15714;parnickiego_7
7427819,623;5551613,34;25845;zawieyskiego_14
7427828,948;5551612,26;25845;zawieyskiego_12
7427836,783;5551609,58;25845;zawieyskiego_10
7427850,905;5551607,97;25845;zawieyskiego_8
7427856,879;5551607,015;25845;zawieyskiego_6
7427871,309;5551605,345;25845;zawieyskiego_4
7427784,927;5551611,985;25845;zawieyskiego_18
7427789,332;5551612,445;25845;zawieyskiego_16
7427724,787;5551602,745;25845;zawieyskiego_28
7427956,975;5551811,343;15170;or³a bia³ego_27
7427863,19;5551749,743;2353;budziszyñska_54
7427842,46;5551764,287;2353;budziszyñska_57
7427845,985;5551739,268;2353;budziszyñska_51
7427914,61;5551746,67;27655;korony polskiej_41
7427945,186;5551749,73;27655;korony polskiej_30
7427938,464;5551757,411;27655;korony polskiej_32
7427995,151;5551771,774;15170;or³a bia³ego_17
7428021,442;5551752,314;15170;or³a bia³ego_11
7427967,851;5551724,139;27655;korony polskiej_24
7427945,965;5551628,881;2353;budziszyñska_19
7428366,399;5551481,366;26196;z³otego wieku_85
7428345,939;5551323,84;23267;tysi¹clecia_74
7428352,752;5551327,23;23267;tysi¹clecia_73
7428128,215;5551965,141;23749;wawelska_10
7427841,05;5551776,109;2353;budziszyñska_61
7427838,84;5551789,187;2353;budziszyñska_63
7427836,535;5551801,851;2353;budziszyñska_67
7427833,98;5551818,01;2353;budziszyñska_71
7427833,215;5551813,877;2353;budziszyñska_69
7428033,817;5551605,932;2353;budziszyñska_2
7428028,4;5551608,815;2353;budziszyñska_4
7428021,233;5551612,901;2353;budziszyñska_6
7428013,465;5551617,21;2353;budziszyñska_8
7427991,346;5551629,53;2353;budziszyñska_14
7427983,337;5551633,992;2353;budziszyñska_16
7427976,579;5551637,07;2353;budziszyñska_18
7427954,832;5551657,222;2353;budziszyñska_24
7427949,872;5551661,042;2353;budziszyñska_26
7427939,814;5551669,246;2353;budziszyñska_28
7427914,545;5551689,32;2353;budziszyñska_36
7427899,709;5551698,771;2353;budziszyñska_40
7427896,234;5551702,346;2353;budziszyñska_42
7427880,242;5551725,388;2353;budziszyñska_48
7427875,58;5551729,9;2353;budziszyñska_50
7427860,82;5551759,221;2353;budziszyñska_56
7428045,638;5551732,292;15170;or³a bia³ego_3
7428052,245;5551728,615;15170;or³a bia³ego_1
7427956,485;5551814,824;15170;or³a bia³ego_29
7427952,305;5551840,173;15170;or³a bia³ego_35
7427954,725;5551823,233;15170;or³a bia³ego_31
7427953,795;5551831,446;15170;or³a bia³ego_33
7427912,39;5551837,901;27655;korony polskiej_48
7427915,94;5551820,168;27655;korony polskiej_44
7427917,405;5551811,292;27655;korony polskiej_42
7427918,725;5551803,337;27655;korony polskiej_40
7427920,736;5551792,344;27655;korony polskiej_38
7427886,545;5551718,87;2353;budziszyñska_46
7427892,73;5551712,495;2353;budziszyñska_44
7427908,904;5551695,661;2353;budziszyñska_38
7427993,674;5551600,39;2353;budziszyñska_7
7427986,446;5551602,77;2353;budziszyñska_9
7427985,359;5551719,886;27655;korony polskiej_20
7427976,578;5551722,651;27655;korony polskiej_22
7427991,384;5551713,851;27655;korony polskiej_18
7427997,251;5551711,405;27655;korony polskiej_16
7428003,185;5551707,13;27655;korony polskiej_14
7427952,723;5551708,392;27655;korony polskiej_29
7427959,323;5551703,356;27655;korony polskiej_27
7427964,925;5551697,175;27655;korony polskiej_25
7427973,497;5551693,404;27655;korony polskiej_23
7427979,954;5551687,901;27655;korony polskiej_21
7428054,71;5551645,585;27655;korony polskiej_1
7427854,153;5551714,467;2353;budziszyñska_47
7427860,165;5551702,705;2353;budziszyñska_45
7427867,127;5551696,037;2353;budziszyñska_43
7427875,959;5551691,715;2353;budziszyñska_41
7427878,853;5551689,107;2353;budziszyñska_39
7427882,304;5551680,421;2353;budziszyñska_37
7427890,327;5551677,003;2353;budziszyñska_35
7427894,705;5551668,07;2353;budziszyñska_33
7427914,885;5551655,25;2353;budziszyñska_29
7427932,362;5551640,522;2353;budziszyñska_23
7427936,698;5551627,448;2353;budziszyñska_21
7427714,128;5551762,07;29611;kurzei_15
7427771,613;5551751,23;29611;kurzei_19
7427684,075;5551665,5;29613;mosdorfa_2
7427721,77;5551708,272;29611;kurzei_14
7427815,615;5551084,575;15438;oœwiecenia_33
7427741,424;5551573,445;25845;zawieyskiego_11
7428030,925;5551912,04;15714;parnickiego_11
7427815,464;5551578,94;25845;zawieyskiego_7
7428042,675;5551765,975;15170;or³a bia³ego_2
7428032,027;5551774,158;15170;or³a bia³ego_4
7427879,574;5551574,075;25845;zawieyskiego_3
7427947,356;5551869,919;27656;zjazdu gnieŸnieñskiego_8
7427646,575;5551602,6;29923;baziaka_3
7427596,77;5551565,467;29923;baziaka_7
7427676,64;5551569,155;29923;baziaka_1
7427910,605;5551173,34;15438;oœwiecenia_36
7428003,876;5551622,665;2353;budziszyñska_10
7427999,266;5551625,404;2353;budziszyñska_12
7427932,546;5551672,198;2353;budziszyñska_30
7427914,19;5551830,708;27655;korony polskiej_46
7427946,014;5551039,06;15438;oœwiecenia_13
7427980,237;5552688,396;4619;dziekanowicka_5
7428056,522;5552709,836;4619;dziekanowicka_9a
7428081,375;5552727,765;4619;dziekanowicka_11
7428127,013;5552788,094;4619;dziekanowicka_17
7428138,101;5552751,574;4619;dziekanowicka_19
7428150,29;5552725,095;4619;dziekanowicka_4
7428162,596;5552705,435;4619;dziekanowicka_4f
7428170,568;5552688,656;4619;dziekanowicka_4e
7428450,226;5552812,889;4619;dziekanowicka_8
7428594,556;5552794,37;4619;dziekanowicka_10
7428747,769;5552758,525;17354;powstañców_64
7428747,769;5552758,525;17354;powstañców_64
7428806,932;5552772,58;17354;powstañców_66
7428806,932;5552772,58;17354;powstañców_66
7427959,385;5552579,012;4619;dziekanowicka_3
7427949,36;5552553,739;4619;dziekanowicka_1
7427968,975;5552561,876;4619;dziekanowicka_2
7427938,24;5552502,358;17354;powstañców_56
7427938,24;5552502,358;17354;powstañców_56
7427971,302;5552492,469;17354;powstañców_58
7427971,302;5552492,469;17354;powstañców_58
7427916,269;5552474,568;17354;powstañców_54
7427916,269;5552474,568;17354;powstañców_54
7427846,361;5552459,016;17354;powstañców_117
7427846,361;5552459,016;17354;powstañców_117
7429023,281;5552246,04;1686;bohaterów wrzeœnia_64
7428993,767;5552199,24;1686;bohaterów wrzeœnia_59
7429088,587;5552236,61;1686;bohaterów wrzeœnia_65
7429154,021;5552227,19;1686;bohaterów wrzeœnia_66
7428200,882;5552593,924;17354;powstañców_121
7428200,882;5552593,924;17354;powstañców_121
7428245,221;5552623,166;17354;powstañców_123
7428245,221;5552623,166;17354;powstañców_123
7428551,531;5551919,22;26196;z³otego wieku_49
7428599,706;5551951,455;26196;z³otego wieku_48
7428526,56;5551797,1;26196;z³otego wieku_44
7428536,515;5551856,176;26196;z³otego wieku_45
7428589,145;5551889,049;26196;z³otego wieku_46
7428641,22;5551925,039;26196;z³otego wieku_47
7428577,27;5551821,872;26196;z³otego wieku_43
7428637,005;5551859,876;26196;z³otego wieku_42
7428675,725;5551867,562;26196;z³otego wieku_41
7428652,626;5551819,571;26196;z³otego wieku_40
7428614,516;5551765,655;26196;z³otego wieku_39
7428571,162;5551743,96;26196;z³otego wieku_38
7428719,33;5551756,544;26196;z³otego wieku_36
7429185,701;5552181,48;1686;bohaterów wrzeœnia_67
7428065,548;5552728,126;4619;dziekanowicka_9b
7428085,143;5552784,189;4619;dziekanowicka_15
7427971,899;5552652,65;4619;dziekanowicka_3e
7428173,294;5552669,745;4619;dziekanowicka_6
7429524,312;5552160,405;16055;piastów_53
7429477,766;5552181,435;16055;piastów_54
7428575,832;5552728,646;17354;powstañców_129
7428575,832;5552728,646;17354;powstañców_129
7429271,602;5552198,42;1686;bohaterów wrzeœnia_33
7428553,837;5551888,335;26196;z³otego wieku_50
7429608,953;5552226,59;16055;piastów_56a
7428755,805;5551723,109;26196;z³otego wieku_36a
7427991,79;5552663,05;4619;dziekanowicka_5a
7428413,809;5552652,079;17354;powstañców_125
7428413,809;5552652,079;17354;powstañców_125
7430096,75;5547624,92;20569;so³tysowska_30
7430113,315;5547615,226;20569;so³tysowska_32
7430119,06;5547560,811;20569;so³tysowska_36
7430089,321;5547526,125;20569;so³tysowska_40
7430119,472;5547527,37;20569;so³tysowska_38
7429517,356;5547173,695;19956;siwka_12
7428944,695;5546588,86;21725;szafrañska_10
7428945,005;5546562,124;21725;szafrañska_12
7428874,63;5546539,469;21725;szafrañska_14
7428936,18;5546522,469;21725;szafrañska_16
7428930,465;5546490,349;21725;szafrañska_18
7428989,423;5546511,674;21725;szafrañska_9
7429425,394;5546535,398;3034;ciep³ownicza_58
7429504,354;5546550,643;3034;ciep³ownicza_64
7429499,514;5546610,111;3034;ciep³ownicza_68
7429439,534;5546510,573;21288;strêcka_1
7429447,591;5547279,324;19956;siwka_1
7429762,876;5546719,264;3911;do wis³y_2
7429754,195;5546726,93;3911;do wis³y_1
7429740,546;5546940,495;6936;isep_2
7429454,005;5547218,04;19956;siwka_6
7429505,523;5547193,455;19956;siwka_3
7429522,063;5547253,995;15239;osiedle_5
7429486,77;5547263,395;15239;osiedle_8
7429511,784;5547294,74;15239;osiedle_6
7429502,313;5547337,664;13708;na za³êczu_15
7429485,597;5547332,939;13708;na za³êczu_17
7429466,821;5547328,35;13708;na za³êczu_19
7429442,643;5547321,036;13708;na za³êczu_21
7429298,699;5547304,98;13708;na za³êczu_12
7428366,604;5546964,625;14210;niepo³omska_64
